,Document_No,Dominant_Topic,Topic_Per_Cont,Keywords,Text
82,82,7.0,0.4178999960422516,"processor, controller, datum, shall, protection, task, infringement, processing, carry, authority", The representative shall be established in one of those Member States where the data subjects are and whose personal data are processed in relation to the offering of goods or services to them or whose behaviour is monitored. 
83,83,7.0,0.42820000648498535,"processor, controller, datum, shall, protection, task, infringement, processing, carry, authority", The representative shall be mandated by the controller or processor to be addressed in addition to or instead of the controller or the processor by in particular supervisory authorities and data subjects on all issues related to processing for the purposes of ensuring compliance with this Regulation. 
84,84,7.0,0.4700999855995178,"processor, controller, datum, shall, protection, task, infringement, processing, carry, authority", The designation of a representative by the controller or processor shall be without prejudice to legal actions which could be initiated against the controller or the processor themselves. 
85,85,6.0,0.5285999774932861,"datum, controller, personal, shall, measure, processing, article, appropriate, transfer, right", Where processing is to be carried out on behalf of a controller the controller shall use only processors providing sufficient guarantees to implement appropriate technical and organisational measures in such a manner that processing will meet the requirements of this Regulation and ensure the protection of the rights of the data subject. 
86,86,7.0,0.7522000074386597,"processor, controller, datum, shall, protection, task, infringement, processing, carry, authority", The processor shall not engage another processor without prior specific or general written authorisation of the controller. In the case of general written authorisation the processor shall inform the controller of any intended changes concerning the addition or replacement of other processors thereby giving the controller the opportunity to object to such changes. 
87,87,6.0,0.5234000086784363,"datum, controller, personal, shall, measure, processing, article, appropriate, transfer, right", Processing by a processor shall be governed by a contract or other legal act under Union or Member State law that is binding on the processor with regard to the controller and that sets out the subject-matter and duration of the processing the nature and purpose of the processing the type of personal data and categories of data subjects and the obligations and rights of the controller. That contract or other legal act shall stipulate in particular that the processor:         a processes the personal data only on documented instructions from the controller including with regard to transfers of personal data to a third country or an international organisation unless required to do so by Union or Member State law to which the processor is subject in such a case the processor shall inform the controller of that legal requirement before processing unless that law prohibits such information on important grounds of public interest         b ensures that persons authorised to process the personal data have committed themselves to confidentiality or are under an appropriate statutory obligation of confidentiality         c takes all measures required pursuant to Article          d respects the conditions referred to in paragraphs  and  for engaging another processor         e taking into account the nature of the processing assists the controller by appropriate technical and organisational measures insofar as this is possible for the fulfilment of the controllers obligation to respond to requests for exercising the data subjects rights laid down in Chapter III         f assists the controller in ensuring compliance with the obligations pursuant to Articles  to  taking into account the nature of processing and the information available to the processor         g at the choice of the controller deletes or returns all the personal data to the controller after the end of the provision of services relating to processing and deletes existing copies unless Union or Member State law requires storage of the personal data         h makes available to the controller all information necessary to demonstrate compliance with the obligations laid down in this Article and allow for and contribute to audits including inspections conducted by the controller or another auditor mandated by the controller. With regard to point h of the first subparagraph the processor shall immediately inform the controller if in its opinion an instruction infringes this Regulation or other Union or Member State data protection provisions. 
88,88,7.0,0.41670000553131104,"processor, controller, datum, shall, protection, task, infringement, processing, carry, authority", Where a processor engages another processor for carrying out specific processing activities on behalf of the controller the same data protection obligations as set out in the contract or other legal act between the controller and the processor as referred to in paragraph  shall be imposed on that other processor by way of a contract or other legal act under Union or Member State law in particular providing sufficient guarantees to implement appropriate technical and organisational measures in such a manner that the processing will meet the requirements of this Regulation. Where that other processor fails to fulfil its data protection obligations the initial processor shall remain fully liable to the controller for the performance of that other processors obligations. 
89,89,2.0,0.945900022983551,"article, refer, code, paragraph, pursuant, certification, approve, conduct, provide, application", Adherence of a processor to an approved code of conduct as referred to in Article  or an approved certification mechanism as referred to in Article  may be used as an element by which to demonstrate sufficient guarantees as referred to in paragraphs  and  of this Article. 
90,90,8.0,0.4708000123500824,"member, state, authority, article, supervisory, body, competent, pursuant, power, shall", Without prejudice to an individual contract between the controller and the processor the contract or the other legal act referred to in paragraphs  and  of this Article may be based in whole or in part on standard contractual clauses referred to in paragraphs  and  of this Article including when they are part of a certification granted to the controller or processor pursuant to Articles  and . 
91,91,3.0,0.7293999791145325,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph", The Commission may lay down standard contractual clauses for the matters referred to in paragraph  and  of this Article and in accordance with the examination procedure referred to in Article 9. 
92,92,3.0,0.9312000274658203,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph", A supervisory authority may adopt standard contractual clauses for the matters referred to in paragraph  and  of this Article and in accordance with the consistency mechanism referred to in Article . 
93,93,3.0,0.49000000953674316,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph", The contract or the other legal act referred to in paragraphs  and  shall be in writing including in electronic form. 
94,94,7.0,0.8021000027656555,"processor, controller, datum, shall, protection, task, infringement, processing, carry, authority",. Without prejudice to Articles   and  if a processor infringes this Regulation by determining the purposes and means of processing the processor shall be considered to be a controller in respect of that processing. The processor and any person acting under the authority of the controller or of the processor who has access to personal data shall not process those data except on instructions from the controller unless required to do so by Union or Member State law. 
