,Document_No,Dominant_Topic,Topic_Per_Cont,Keywords,Text
0,0,9.0,0.9236999750137329,"datum, rule, union, member, state, law, personal, specific, regulation, obligation",    . This Regulation lays down rules relating to the protection of natural persons with regard to the processing of personal data and rules relating to the free movement of personal data. 
1,1,9.0,0.8985999822616577,"datum, rule, union, member, state, law, personal, specific, regulation, obligation", This Regulation protects fundamental rights and freedoms of natural persons and in particular their right to the protection of personal data. 
2,2,4.0,0.5751000046730042,"right, datum, process, purpose, personal, public, shall, court, member, judicial_remedy", The free movement of personal data within the Union shall be neither restricted nor prohibited for reasons connected with the protection of natural persons with regard to the processing of personal data. 
3,3,9.0,0.7045000195503235,"datum, rule, union, member, state, law, personal, specific, regulation, obligation", This Regulation applies to the processing of personal data wholly or partly by automated means and to the processing other than by automated means of personal data which form part of a filing system or are intended to form part of a filing system. 
4,4,7.0,0.7616000175476074,"processor, controller, datum, shall, protection, task, infringement, processing, carry, authority", This Regulation does not apply to the processing of personal data:         a in the course of an activity which falls outside the scope of Union law         b by the Member States when carrying out activities which fall within the scope of Chapter  of Title V of the TEU         c by a natural person in the course of a purely personal or household activity         d by competent authorities for the purposes of the prevention investigation detection or prosecution of criminal offences the execution of criminal penalties including the safeguarding against and the prevention of threats to public security. 
5,5,6.0,0.7900000214576721,"datum, controller, personal, shall, measure, processing, article, appropriate, transfer, right", For the processing of personal data by the Union institutions bodies offices and agencies Regulation EC No / applies. Regulation EC No / and other Union legal acts applicable to such processing of personal data shall be adapted to the principles and rules of this Regulation in accordance with Article 9. 
6,6,2.0,0.5260999798774719,"article, refer, code, paragraph, pursuant, certification, approve, conduct, provide, application", This Regulation shall be without prejudice to the application of Directive //EC in particular of the liability rules of intermediary service providers in Articles  to  of that Directive. 
7,7,7.0,0.5738999843597412,"processor, controller, datum, shall, protection, task, infringement, processing, carry, authority", This Regulation applies to the processing of personal data in the context of the activities of an establishment of a controller or a processor in the Union regardless of whether the processing takes place in the Union or not. 
8,8,6.0,0.3434000015258789,"datum, controller, personal, shall, measure, processing, article, appropriate, transfer, right", This Regulation applies to the processing of personal data of data subjects who are in the Union by a controller or processor not established in the Union where the processing activities are related to:         a the offering of goods or services irrespective of whether a payment of the data subject is required to such data subjects in the Union or         b the monitoring of their behaviour as far as their behaviour takes place within the Union. 
9,9,7.0,0.507099986076355,"processor, controller, datum, shall, protection, task, infringement, processing, carry, authority", This Regulation applies to the processing of personal data by a controller not established in the Union but in a place where Member State law applies by virtue of public international law. Article  Definitions For the purposes of this Regulation:      personal data means any information relating to an identified or identifiable natural person data subject an identifiable natural person is one who can be identified directly or indirectly in xparticular by reference to an identifier such as a name an identification number location data an online identifier or to one or more factors specific to the physical physiological genetic mental economic cultural or social identity of that natural person      processing means any operation or set of operations which is performed on personal data or on sets of personal data whether or not by automated means such as collection recording organisation structuring storage adaptation or alteration retrieval consultation use disclosure by transmission dissemination or otherwise making available alignment or combination restriction erasure or destruction      restriction of processing means the marking of stored personal data with the aim of limiting their processing in the future      profiling means any form of automated processing of personal data consisting of the use of personal data to evaluate certain personal aspects relating to a natural person in particular to analyse or predict aspects concerning that natural persons performance at work economic situation health personal preferences interests reliability behaviour location or movements      pseudonymisation means the processing of personal data in such a manner that the personal data can no longer be attributed to a specific data subject without the use of additional information provided that such additional information is kept separately and is subject to technical and organisational measures to ensure that the personal data are not attributed to an identified or identifiable natural person      filing system means any structured set of personal data which are accessible according to specific criteria whether centralised decentralised or dispersed on a functional or geographical basis      controller means the natural or legal person public authority agency or other body which alone or jointly with others determines the purposes and means of the processing of personal data where the purposes and means of such processing are determined by Union or Member State law the controller or the specific criteria for its nomination may be provided for by Union or Member State law      processor means a natural or legal person public authority agency or other body which processes personal data on behalf of the controller     9 recipient means a natural or legal person public authority agency or another body to which the personal data are disclosed whether a third party or not. However public authorities which may receive personal data in the framework of a particular inquiry in accordance with Union or Member State law shall not be regarded as recipients the processing of those data by those public authorities shall be in compliance with the applicable data protection rules according to the purposes of the processing      third party means a natural or legal person public authority agency or body other than the data subject controller processor and persons who under the direct authority of the controller or processor are authorised to process personal data      consent of the data subject means any freely given specific informed and unambiguous indication of the data subjects wishes by which he or she by a statement or by a clear affirmative action signifies agreement to the processing of personal data relating to him or her      personal data breach means a breach of security leading to the accidental or unlawful destruction loss alteration unauthorised disclosure of or access to personal data transmitted stored or otherwise processed      genetic data means personal data relating to the inherited or acquired genetic characteristics of a natural person which give unique information about the physiology or the health of that natural person and which result in particular from an analysis of a biological sample from the natural person in question      biometric data means personal data resulting from specific technical processing relating to the physical physiological or behavioural characteristics of a natural person which allow or confirm the unique identification of that natural person such as facial images or dactyloscopic data      data concerning health means personal data related to the physical or mental health of a natural person including the provision of health care services which reveal information about his or her health status      main establishment means:         a as regards a controller with establishments in more than one Member State the place of its central administration in the Union unless the decisions on the purposes and means of the processing of personal data are taken in another establishment of the controller in the Union and the latter establishment has the power to have such decisions implemented in which case the establishment having taken such decisions is to be considered to be the main establishment         b as regards a processor with establishments in more than one Member State the place of its central administration in the Union or if the processor has no central administration in the Union the establishment of the processor in the Union where the main processing activities in the context of the activities of an establishment of the processor take place to the extent that the processor is subject to specific obligations under this Regulation      representative means a natural or legal person established in the Union who designated by the controller or processor in writing pursuant to Article  represents the controller or processor with regard to their respective obligations under this Regulation      enterprise means a natural or legal person engaged in an economic activity irrespective of its legal form including partnerships or associations regularly engaged in an economic activity     9 group of undertakings means a controlling undertaking and its controlled undertakings      binding corporate rules means personal data protection policies which are adhered to by a controller or processor established on the territory of a Member State for transfers or a set of transfers of personal data to a controller or processor in one or more third countries within a group of undertakings or group of enterprises engaged in a joint economic activity      supervisory authority means an independent public authority which is established by a Member State pursuant to Article       supervisory authority concerned means a supervisory authority which is concerned by the processing of personal data because:         a the controller or processor is established on the territory of the Member State of that supervisory authority         b data subjects residing in the Member State of that supervisory authority are substantially affected or likely to be substantially affected by the processing or         c a complaint has been lodged with that supervisory authority      cross-border processing means either:         a processing of personal data which takes place in the context of the activities of establishments in more than one Member State of a controller or processor in the Union where the controller or processor is established in more than one Member State or         b processing of personal data which takes place in the context of the activities of a single establishment of a controller or processor in the Union but which substantially affects or is likely to substantially affect data subjects in more than one Member State.      relevant and reasoned objection means an objection as to whether there is an infringement of this Regulation or not or whether the envisaged action in relation to the controller or processor complies with this Regulation which clearly demonstrates the significance of the risks posed by the draft decision as regards the fundamental rights and freedoms of data subjects and where applicable the free flow of personal data within the Union      information society service means a service as defined in point b of Article  of Directive EU / of the European Parliament and of the Council      international organisation means an organisation and its subordinate bodies governed by public international law or any other body which is set up by or on the basis of an agreement between two or more countries. CHAPTER II  PRINCIPLES  
10,10,4.0,0.4523000121116638,"right, datum, process, purpose, personal, public, shall, court, member, judicial_remedy", Processing shall be lawful only if and to the extent that at least one of the following applies:         a the data subject has given consent to the processing of his or her personal data for one or more specific purposes         b processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract         c processing is necessary for compliance with a legal obligation to which the controller is subject         d processing is necessary in order to protect the vital interests of the data subject or of another natural person         e processing is necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller         f processing is necessary for the purposes of the legitimate interests pursued by the controller or by a third party except where such interests are overridden by the interests or fundamental rights and freedoms of the data subject which require protection of personal data in particular where the data subject is a child. Point f of the first subparagraph shall not apply to processing carried out by public authorities in the performance of their tasks. 
11,11,2.0,0.5507000088691711,"article, refer, code, paragraph, pursuant, certification, approve, conduct, provide, application", Member States may maintain or introduce more specific provisions to adapt the application of the rules of this Regulation with regard to processing for compliance with points c and e of paragraph  by determining more precisely specific requirements for the processing and other measures to ensure lawful and fair processing including for other specific processing situations as provided for in Chapter IX. 
12,12,4.0,0.31769999861717224,"right, datum, process, purpose, personal, public, shall, court, member, judicial_remedy", The basis for the processing referred to in point c and e of paragraph  shall be laid down by:         a Union law or         b Member State law to which the controller is subject. The purpose of the processing shall be determined in that legal basis or as regards the processing referred to in point e of paragraph  shall be necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller. That legal basis may contain specific provisions to adapt the application of rules of this Regulation inter alia: the general conditions governing the lawfulness of processing by the controller the types of data which are subject to the processing the data subjects concerned the entities to and the purposes for which the personal data may be disclosed the purpose limitation storage periods and processing operations and processing procedures including measures to ensure lawful and fair processing such as those for other specific processing situations as provided for in Chapter IX. The Union or the Member State law shall meet an objective of public interest and be proportionate to the legitimate aim pursued. 
13,13,6.0,0.6625999808311462,"datum, controller, personal, shall, measure, processing, article, appropriate, transfer, right", Where the processing for a purpose other than that for which the personal data have been collected is not based on the data subjects consent or on a Union or Member State law which constitutes a necessary and proportionate measure in a democratic society to safeguard the objectives referred to in Article  the controller shall in order to ascertain whether processing for another purpose is compatible with the purpose for which the personal data are initially collected take into account inter alia:         a any link between the purposes for which the personal data have been collected and the purposes of the intended further processing         b the context in which the personal data have been collected in particular regarding the relationship between data subjects and the controller         c the nature of the personal data in particular whether special categories of personal data are processed pursuant to Article 9 or whether personal data related to criminal convictions and offences are processed pursuant to Article          d the possible consequences of the intended further processing for data subjects         e the existence of appropriate safeguards which may include encryption or pseudonymisation. 
14,14,4.0,0.585099995136261,"right, datum, process, purpose, personal, public, shall, court, member, judicial_remedy", Where processing is based on consent the controller shall be able to demonstrate that the data subject has consented to processing of his or her personal data. 
15,15,3.0,0.5601999759674072,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph", If the data subjects consent is given in the context of a written declaration which also concerns other matters the request for consent shall be presented in a manner which is clearly distinguishable from the other matters in an intelligible and easily accessible form using clear and plain language. Any part of such a declaration which constitutes an infringement of this Regulation shall not be binding. 
16,16,3.0,0.90420001745224,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph", The data subject shall have the right to withdraw his or her consent at any time. The withdrawal of consent shall not affect the lawfulness of processing based on consent before its withdrawal. Prior to giving consent the data subject shall be informed thereof. It shall be as easy to withdraw consent as to give it. 
17,17,9.0,0.517300009727478,"datum, rule, union, member, state, law, personal, specific, regulation, obligation", When assessing whether consent is freely given utmost account shall be taken of whether inter alia the performance of a contract including the provision of a service is conditional on consent to the processing of personal data that is not necessary for the performance of that contract. 
18,18,2.0,0.6524999737739563,"article, refer, code, paragraph, pursuant, certification, approve, conduct, provide, application", Where point a of Article  applies in relation to the offer of information society services directly to a child the processing of the personal data of a child shall be lawful where the child is at least  years old. Where the child is below the age of  years such processing shall be lawful only if and to the extent that consent is given or authorised by the holder of parental responsibility over the child. Member States may provide by law for a lower age for those purposes provided that such lower age is not below  years. 
19,19,3.0,0.36390000581741333,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph", The controller shall make reasonable efforts to verify in such cases that consent is given or authorised by the holder of parental responsibility over the child taking into consideration available technology. 
20,20,9.0,0.5752000212669373,"datum, rule, union, member, state, law, personal, specific, regulation, obligation", Paragraph  shall not affect the general contract law of Member States such as the rules on the validity formation or effect of a contract in relation to a child. 
21,21,5.0,0.49790000915527344,"shall, board, decision, notify, force, chair, opinion, paragraph, date, refer", Processing of personal data revealing racial or ethnic origin political opinions religious or philosophical beliefs or trade-union membership and the processing of genetic data biometric data for the purpose of uniquely identifying a natural person data concerning health or data concerning a natural persons sex life or sexual orientation shall be prohibited. 
22,22,9.0,0.6561999917030334,"datum, rule, union, member, state, law, personal, specific, regulation, obligation", Paragraph  shall not apply if one of the following applies:         a the data subject has given explicit consent to the processing of those personal data for one or more specified purposes except where Union or Member State law provide that the prohibition referred to in paragraph  may not be lifted by the data subject         b processing is necessary for the purposes of carrying out the obligations and exercising specific rights of the controller or of the data subject in the field of employment and social security and social protection law in so far as it is authorised by Union or Member State law or a collective agreement pursuant to Member State law providing for appropriate safeguards for the fundamental rights and the interests of the data subject         c processing is necessary to protect the vital interests of the data subject or of another natural person where the data subject is physically or legally incapable of giving consent         d processing is carried out in the course of its legitimate activities with appropriate safeguards by a foundation association or any other not-for-profit body with a political philosophical religious or trade-union aim and on condition that the processing relates solely to the members or to former members of the body or to persons who have regular contact with it in connection with its purposes and that the personal data are not disclosed outside that body without the consent of the data subjects         e processing relates to personal data which are manifestly made public by the data subject         f processing is necessary for the establishment exercise or defence of legal claims or whenever courts are acting in their judicial capacity         g processing is necessary for reasons of substantial public interest on the basis of Union or Member State law which shall be proportionate to the aim pursued respect the essence of the right to data protection and provide for suitable and specific measures to safeguard the fundamental rights and the interests of the data subject         h processing is necessary for the purposes of preventive or occupational medicine for the assessment of the working capacity of the employee medical diagnosis the provision of health or social care or treatment or the management of health or social care systems and services on the basis of Union or Member State law or pursuant to contract with a health professional and subject to the conditions and safeguards referred to in paragraph          i processing is necessary for reasons of public interest in the area of public health such as protecting against serious cross-border threats to health or ensuring high standards of quality and safety of health care and of medicinal products or medical devices on the basis of Union or Member State law which provides for suitable and specific measures to safeguard the rights and freedoms of the data subject in particular professional secrecy or         j processing is necessary for archiving purposes in the public interest scientific or historical research purposes or statistical purposes in accordance with Article 9 based on Union or Member State law which shall be proportionate to the aim pursued respect the essence of the right to data protection and provide for suitable and specific measures to safeguard the fundamental rights and the interests of the data subject. 
23,23,8.0,0.5641000270843506,"member, state, authority, article, supervisory, body, competent, pursuant, power, shall", Personal data referred to in paragraph  may be processed for the purposes referred to in point h of paragraph  when those data are processed by or under the responsibility of a professional subject to the obligation of professional secrecy under Union or Member State law or rules established by national competent bodies or by another person also subject to an obligation of secrecy under Union or Member State law or rules established by national competent bodies. 
24,24,4.0,0.2924000024795532,"right, datum, process, purpose, personal, public, shall, court, member, judicial_remedy", Member States may maintain or introduce further conditions including limitations with regard to the processing of genetic data biometric data or data concerning health. Processing of personal data relating to criminal convictions and offences or related security measures based on Article  shall be carried out only under the control of official authority or when the processing is authorised by Union or Member State law providing for appropriate safeguards for the rights and freedoms of data subjects. Any comprehensive register of criminal convictions shall be kept only under the control of official authority. 
25,25,6.0,0.9570000171661377,"datum, controller, personal, shall, measure, processing, article, appropriate, transfer, right", If the purposes for which a controller processes personal data do not or do no longer require the identification of a data subject by the controller the controller shall not be obliged to maintain acquire or process additional information in order to identify the data subject for the sole purpose of complying with this Regulation. 
26,26,6.0,0.5253999829292297,"datum, controller, personal, shall, measure, processing, article, appropriate, transfer, right", Where in cases referred to in paragraph  of this Article the controller is able to demonstrate that it is not in a position to identify the data subject the controller shall inform the data subject accordingly if possible. In such cases Articles  to  shall not apply except where the data subject for the purpose of exercising his or her rights under those articles provides additional information enabling his or her identification. CHAPTER III RIGHTS OF THE DATA SUBJECT SECTION  TRANSPARENCY AND MODALITIES 
27,27,3.0,0.978600025177002,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph", The controller shall take appropriate measures to provide any information referred to in Articles  and  and any communication under Articles  to  and  relating to processing to the data subject in a concise transparent intelligible and easily accessible form using clear and plain language in particular for any information addressed specifically to a child. The information shall be provided in writing or by other means including where appropriate by electronic means. When requested by the data subject the information may be provided orally provided that the identity of the data subject is proven by other means. 
28,28,6.0,0.49810001254081726,"datum, controller, personal, shall, measure, processing, article, appropriate, transfer, right", The controller shall facilitate the exercise of data subject rights under Articles  to . In the cases referred to in Article  the controller shall not refuse to act on the request of the data subject for exercising his or her rights under Articles  to  unless the controller demonstrates that it is not in a position to identify the data subject. 
29,29,3.0,0.7422999739646912,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph", The controller shall provide information on action taken on a request under Articles  
30,30,3.0,0.9750999808311462,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph",to the data subject without undue delay and in any event within one month of receipt of the request. That period may be extended by two further months where necessary taking into account the complexity and number of the requests. The controller shall inform the data subject of any such extension within one month of receipt of the request together with the reasons for the delay. Where the data subject makes the request by electronic form means the information shall be provided by electronic means where possible unless otherwise requested by the data subject. 
31,31,3.0,0.5178999900817871,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph", If the controller does not take action on the request of the data subject the controller shall inform the data subject without delay and at the latest within one month of receipt of the request of the reasons for not taking action and on the possibility of lodging a complaint with a supervisory authority and seeking a judicial remedy. 
32,32,3.0,0.4560000002384186,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph", Information provided under Articles  and  and any communication and any actions taken under Articles  to  and  shall be provided free of charge. Where requests from a data subject are manifestly unfounded or excessive in particular because of their repetitive character the controller may either:         a charge a reasonable fee taking into account the administrative costs of providing the information or communication or taking the action requested or         b refuse to act on the request. The controller shall bear the burden of demonstrating the manifestly unfounded or excessive character of the request. 
33,33,3.0,0.5467000007629395,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph", Without prejudice to Article  where the controller has reasonable doubts concerning the identity of the natural person making the request referred to in Articles  to  the controller may request the provision of additional information necessary to confirm the identity of the data subject. 
34,34,3.0,0.9652000069618225,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph", The information to be provided to data subjects pursuant to Articles  and  may be provided in combination with standardised icons in order to give in an easily visible intelligible and clearly legible manner a meaningful overview of the intended processing. Where the icons are presented electronically they shall be machine-readable. 
35,35,3.0,0.9527000188827515,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph", The Commission shall be empowered to adopt delegated acts in accordance with Article 9 for the purpose of determining the information to be presented by the icons and the procedures for providing standardised icons. SECTION  INFORMATION AND ACCESS TO PERSONAL DATA 
36,36,3.0,0.6044999957084656,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph", Where personal data relating to a data subject are collected from the data subject the controller shall at the time when personal data are obtained provide the data subject with all of the following information:         a the identity and the contact details of the controller and where applicable of the controllers representative         b the contact details of the data protection officer where applicable         c the purposes of the processing for which the personal data are intended as well as the legal basis for the processing         d where the processing is based on point f of Article  the legitimate interests pursued by the controller or by a third party         e the recipients or categories of recipients of the personal data if any         f where applicable the fact that the controller intends to transfer personal data to a third country or international organisation and the existence or absence of an adequacy decision by the Commission or in the case of transfers referred to in Article  or  or the second subparagraph of Article 9 reference to the appropriate or suitable safeguards and the means by which to obtain a copy of them or where they have been made available. 
37,37,3.0,0.8626000285148621,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph", In addition to the information referred to in paragraph  the controller shall at the time when personal data are obtained provide the data subject with the following further information necessary to ensure fair and transparent processing:         a the period for which the personal data will be stored or if that is not possible the criteria used to determine that period         b the existence of the right to request from the controller access to and rectification or erasure of personal data or restriction of processing concerning the data subject or to object to processing as well as the right to data portability         c where the processing is based on point a of Article  or point a of Article 9 the existence of the right to withdraw consent at any time without affecting the lawfulness of processing based on consent before its withdrawal         d the right to lodge a complaint with a supervisory authority         e whether the provision of personal data is a statutory or contractual requirement or a requirement necessary to enter into a contract as well as whether the data subject is obliged to provide the personal data and of the possible consequences of failure to provide such data         f the existence of automated decision-making including profiling referred to in Article  and  and at least in those cases meaningful information about the logic involved as well as the significance and the envisaged consequences of such processing for the data subject. 
38,38,3.0,0.605400025844574,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph", Where the controller intends to further process the personal data for a purpose other than that for which the personal data were collected the controller shall provide the data subject prior to that further processing with information on that other purpose and with any relevant further information as referred to in paragraph . 
39,39,3.0,0.7166000008583069,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph", Paragraphs   and  shall not apply where and insofar as the data subject already has the information. 
40,40,3.0,0.5376999974250793,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph", Where personal data have not been obtained from the data subject the controller shall provide the data subject with the following information:             a the identity and the contact details of the controller and if any of the controllers representative             b the contact details of the data protection officer where applicable             c the purposes of the processing for which the personal data are intended as well as the legal basis for the processing             d the categories of personal data concerned             e the recipients or categories of recipients of the personal data where applicable             f where applicable that the controller intends to transfer personal data to a recipient in a third country or international organisation and the existence or absence of an adequacy decision by the Commission or in the case of transfers referred to in Article  or  or the second subparagraph of Article 9 reference to the appropriate or suitable safeguards and the means to obtain a copy of them or where they have been made available. 
41,41,3.0,0.8299000263214111,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph", In addition to the information referred to in paragraph  the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject:             a the period for which the personal data will be stored or if that is not possible the criteria used to determine that period             b where the processing is based on point f of Article  the legitimate interests pursued by the controller or by a third party             c the existence of the right to request from the controller access to and rectification or erasure of personal data or restriction of processing concerning the data subject and to object to processing as well as the right to data portability             d where processing is based on point a of Article  or point a of Article 9 the existence of the right to withdraw consent at any time without affecting the lawfulness of processing based on consent before its withdrawal             e the right to lodge a complaint with a supervisory authority             f from which source the personal data originate and if applicable whether it came from publicly accessible sources             g the existence of automated decision-making including profiling referred to in Article  and  and at least in those cases meaningful information about the logic involved as well as the significance and the envisaged consequences of such processing for the data subject. 
42,42,3.0,0.6536999940872192,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph", The controller shall provide the information referred to in paragraphs  and :             a within a reasonable period after obtaining the personal data but at the latest within one month having regard to the specific circumstances in which the personal data are processed             b if the personal data are to be used for communication with the data subject at the latest at the time of the first communication to that data subject or             c if a disclosure to another recipient is envisaged at the latest when the personal data are first disclosed. 
43,43,3.0,0.6984000205993652,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph", Where the controller intends to further process the personal data for a purpose other than that for which the personal data were obtained the controller shall provide the data subject prior to that further processing with information on that other purpose and with any relevant further information as referred to in paragraph . 
44,44,3.0,0.36059999465942383,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph", Paragraphs  to  shall not apply where and insofar as:         a the data subject already has the information         b the provision of such information proves impossible or would involve a disproportionate effort in particular for processing for archiving purposes in the public interest scientific or historical research purposes or statistical purposes subject to the conditions and safeguards referred to in Article 9 or in so far as the obligation referred to in paragraph  of this Article is likely to render impossible or seriously impair the achievement of the objectives of that processing. In such cases the controller shall take appropriate measures to protect the data subjects rights and freedoms and legitimate interests including making the information publicly available         c obtaining or disclosure is expressly laid down by Union or Member State law to which the controller is subject and which provides appropriate measures to protect the data subjects legitimate interests or         d where the personal data must remain confidential subject to an obligation of professional secrecy regulated by Union or Member State law including a statutory obligation of secrecy. 
45,45,3.0,0.6904000043869019,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph", The data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed and where that is the case access to the personal data and the following information:         a the purposes of the processing         b the categories of personal data concerned         c the recipients or categories of recipient to whom the personal data have been or will be disclosed in particular recipients in third countries or international organisations         d where possible the envisaged period for which the personal data will be stored or if not possible the criteria used to determine that period         e the existence of the right to request from the controller rectification or erasure of personal data or restriction of processing of personal data concerning the data subject or to object to such processing         f the right to lodge a complaint with a supervisory authority         g where the personal data are not collected from the data subject any available information as to their source         h the existence of automated decision-making including profiling referred to in Article  and  and at least in those cases meaningful information about the logic involved as well as the significance and the envisaged consequences of such processing for the data subject. 
46,46,6.0,0.9301000237464905,"datum, controller, personal, shall, measure, processing, article, appropriate, transfer, right", Where personal data are transferred to a third country or to an international organisation the data subject shall have the right to be informed of the appropriate safeguards pursuant to Article  relating to the transfer. 
47,47,3.0,0.9700999855995178,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph", The controller shall provide a copy of the personal data undergoing processing. For any further copies requested by the data subject the controller may charge a reasonable fee based on administrative costs. Where the data subject makes the request by electronic means and unless otherwise requested by the data subject the information shall be provided in a commonly used electronic form. 
48,48,3.0,0.4542999863624573,"article, shall, datum, adopt, refer, request, commission, information, supervisory, paragraph", The right to obtain a copy referred to in paragraph  shall not adversely affect the rights and freedoms of others. SECTION   RECTIFICATION AND ERASURE The data subject shall have the right to obtain from the controller without undue delay the rectification of inaccurate personal data concerning him or her . Taking into account the purposes of the processing the data subject shall have the right to have incomplete personal data completed including by means of providing a supplementary statement. 
49,49,4.0,0.7842000126838684,"right, datum, process, purpose, personal, public, shall, court, member, judicial_remedy", The data subject shall have the right to obtain from the controller the erasure of personal data concerning him or her without undue delay and the controller shall have the obligation to erase personal data without undue delay where one of the following grounds applies:         a the personal data are no longer necessary in relation to the purposes for which they were collected or otherwise processed         b the data subject withdraws consent on which the processing is based according to point a of Article  or point a of Article 9 and where there is no other legal ground for the processing         c the data subject objects to the processing pursuant to Article  and there are no overriding legitimate grounds for the processing or the data subject objects to the processing pursuant to Article          d the personal data have been unlawfully processed         e the personal data have to be erased for compliance with a legal obligation in Union or Member State law to which the controller is subject         f the personal data have been collected in relation to the offer of information society services referred to in Article . 
50,50,6.0,0.5745999813079834,"datum, controller, personal, shall, measure, processing, article, appropriate, transfer, right", Where the controller has made the personal data public and is obliged pursuant to paragraph  to erase the personal data the controller taking account of available technology and the cost of implementation shall take reasonable steps including technical measures to inform controllers which are processing the personal data that the data subject has requested the erasure by such controllers of any links to or copy or replication of those personal data. 
51,51,4.0,0.6481999754905701,"right, datum, process, purpose, personal, public, shall, court, member, judicial_remedy", Paragraphs  and  shall not apply to the extent that processing is necessary:         a for exercising the right of freedom of expression and information         b for compliance with a legal obligation which requires processing by Union or Member State law to which the controller is subject or for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller         c for reasons of public interest in the area of public health in accordance with points h and i of Article 9 as well as Article 9         d for archiving purposes in the public interest scientific or historical research purposes or statistical purposes in accordance with Article 9 in so far as the right referred to in paragraph  is likely to render impossible or seriously impair the achievement of the objectives of that processing or         e for the establishment exercise or defence of legal claims. 
